indicator_id,bps_role,acquisition_lane,query_terms,qualification_status,notes
own_source_revenue,crosscheck,static_or_publication,pendapatan asli daerah PAD realisasi,candidate_secondary,Finance ministry or regional finance data may remain primary
regional_expenditure_per_capita,derived_input,static_or_publication,realisasi belanja daerah pengeluaran pemerintah,candidate_secondary,Requires compatible expenditure and population denominator
capital_expenditure_share,not_primary,defer,belanja modal realisasi APBD,defer_non_bps,Ministry of Finance is preferred primary source
fiscal_independence_ratio,not_primary,defer,kemandirian fiskal PAD pendapatan daerah,defer_non_bps,Derived from fiscal source outside BPS when possible
annual_rainfall,crosscheck,publication_or_static,curah hujan tahunan,candidate_secondary,BMKG is primary and station completeness must be retained
extreme_rainfall_days,not_primary,defer,hari hujan ekstrem curah hujan,defer_non_bps,BMKG daily data is required for threshold derivation
mean_temperature,crosscheck,publication_or_static,suhu rata-rata temperatur,candidate_secondary,BMKG remains preferred primary source
forest_cover_share,not_primary,defer,tutupan hutan luas hutan,defer_non_bps,KLHK or BIG is preferred primary source
flood_events,not_primary,defer,banjir kejadian bencana,defer_non_bps,BNPB is primary disaster-event source
landslide_events,not_primary,defer,longsor tanah longsor kejadian bencana,defer_non_bps,BNPB is primary disaster-event source
disaster_affected_population,not_primary,defer,penduduk terdampak bencana,defer_non_bps,BNPB is primary disaster-impact source
disaster_direct_loss,not_primary,defer,kerugian bencana nilai kerusakan,defer_non_bps,BNPB or regional government is preferred primary source
elevation_mean,not_primary,defer,ketinggian elevasi,defer_non_bps,BIG DEM is required for area-weighted derivation
steep_slope_share,not_primary,defer,kemiringan lereng,defer_non_bps,BIG DEM is required for slope derivation
distance_to_padang,not_primary,defer,jarak ke Padang jaringan jalan,defer_non_bps,Requires network/geospatial source
historical_population,archive,historical_publication,populasi penduduk sensus Sumatera Barat lama,historical_inventory,Attach observations to source-era geography
historical_literacy,archive,historical_publication,melek huruf buta huruf literacy Sumatera Barat,historical_inventory,Definition and age universe must be extracted from source
historical_school_enrollment,archive,historical_publication,murid sekolah enrollment pendidikan Sumatera Barat,historical_inventory,Education-system mapping required
historical_transport_access,archive,historical_publication,jalan kereta pelabuhan transportasi Sumatera Barat,historical_inventory,Mixed quantitative and qualitative evidence likely
