krb_hazard_id,source_hazard_label,section_id,action_order,action_text_source_native,start_pdf_page,end_pdf_page,claim_type,observed_implementation_claimed,prediction_claim_authorized,unmitigated_loss_forecast_authorized
extreme_weather,CUACA EKSTRIM,krb_4_2_3,1,"1. Penataan ruang, manajemen risiko cuaca ekstrim melalui penataan ruang dengan melakukan identifikasi lokasi dan tingkat risiko cuaca ekstrim, penempatan bangunan perumahan dan fasilitas umum yang vital yang aman dari cuaca ekstrim, pengarahan struktur bangunan sesuai dengan karakteristik risiko cuaca ekstrim, pembangunan sistem dan jalur evakuasi yang dilengkapi sarana dan prasarana.",102,102,official_risk_reduction_recommendation,false,false,false
extreme_weather,CUACA EKSTRIM,krb_4_2_3,2,2. Rekayasa teknologi dengan mengembangkan teknik konstruksi bangunan untuk fasilitas umum maupun rumah penduduk yang berada di area rawan cuaca ekstrim.,102,102,official_risk_reduction_recommendation,false,false,false
extreme_weather,CUACA EKSTRIM,krb_4_2_3,3,3. Membangun sistem peringatan dini bahaya cuaca ekstrim yang lebih mudah dijangkau/diakses oleh masyarakat.,102,102,official_risk_reduction_recommendation,false,false,false
extreme_weather,CUACA EKSTRIM,krb_4_2_3,4,4. Rehabilitasi fungsi-fungsi hutan pada wilayah lindung dan konservasi.,102,102,official_risk_reduction_recommendation,false,false,false
extreme_weather,CUACA EKSTRIM,krb_4_2_3,5,5. Peningkatan kapasitas masyarakat pada wilayah risiko tinggi bencana cuaca ekstrim.,102,102,official_risk_reduction_recommendation,false,false,false
extreme_weather,CUACA EKSTRIM,krb_4_2_3,6,6. Peningkatan koordinasi antar pemangku kepentingan/stakeholder dalam menghadapi bahaya cuaca ekstrim.,102,102,official_risk_reduction_recommendation,false,false,false
extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,krb_4_2_4,1,1. Menanam Pohon Bakau. Pohon bakau merupakan jenis pepohonan yang akarnya dapat menjulur ke dalam air pantai. Biasanya pohon bakau ditanam sejajar garis pantai untuk sekaligus membatasi daerah air dengan daerah pantai yang berpasir. Akar pohon bakau yang kuat akan menahan gelombang dan arus laut yang mengarah ke pantai agar tidak menghancurkan bebatuan dan tanah di daerah pantai.,102,102,official_risk_reduction_recommendation,false,false,false
extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,krb_4_2_4,2,"2. Memelihara Terumbu Karang. Pencegahan abrasi juga dapat dilakukan dengan pemeliharaan terumbu karang. Seperti kita ketahui bahwa terumbu karang memiliki fungsi sebagai pemecah gelombang. Dengan begitu, apabila ekosistem terumbu karang diperbaiki maka dapat meminimalisir terjadinya abrasi.",102,102,official_risk_reduction_recommendation,false,false,false
extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,krb_4_2_4,3,"3. Melarang Penambangan Pasir. Ini merupakan tugas dan tanggungjawab pemerintah daerah dan pusat yang harus tegas melarang kegiatan penambangan pasir di daerah-daerah tertentu, yaitu melalui peraturan pemerintah. Pencegahan abrasi dapat dilakukan bila persedian pasir di lautan masih memadai sehingga gelombang air tidak menyentuh garis pantai.",102,102,official_risk_reduction_recommendation,false,false,false
extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,krb_4_2_4,4,4. Regulasi Pemerintah Indonesia melalui Peraturan Pemerintah No. 64 tahun 2010 tentang Mitigasi Bencana di Wilayah Pesisir Dan Pulau-pulau Kecil telah memberikan arahan dalam upaya upaya dalam mitigasi bencana Pasal 6 Pemerintah dan Pemerintah Daerah yang dituangkan dalam Perencanaan Pengelolaan Wilayah Pesisir dan Pulau- pulau Kecil (Pasal 7). Pelaksanaan Mitigasi dapat dilakukan dengan sistem struktur/fisik maupun non struktur/non fisik (Pasal 14). Tanggung jawab mitigasi bencana diatur pada pasal 18.,102,102,official_risk_reduction_recommendation,false,false,false
extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,krb_4_2_4,5,5. Membangun sistem peringatan dini bahaya gelombang ekstrim dan abrasi yang lebih mudah dijangkau/diakses oleh masyarakat.,102,102,official_risk_reduction_recommendation,false,false,false
extreme_wave_and_coastal_erosion,GELOMBANG EKSTRIM DAN ABRASI,krb_4_2_4,6,6. Peningkatan kapasitas masyarakat dalam penanggulangan bencana.,102,102,official_risk_reduction_recommendation,false,false,false
earthquake,GEMPABUMI,krb_4_2_5,1,"1. Penataan ruang, manajemen risiko gempabumi melalui penataan ruang dengan melakukan identifikasi lokasi dan tingkat risiko gempabumi, penempatan bangunan perumahan dan fasilitas umum yang vital yang aman dari gempabumi, pengarahan struktur bangunan sesuai dengan karakteristik risiko Gempabumi, pembangunan sistem dan jalur evakuasi yang dilengkapi sarana dan prasarana.",102,102,official_risk_reduction_recommendation,false,false,false
earthquake,GEMPABUMI,krb_4_2_5,2,"2. Rekayasa teknologi dengan mengembangkan teknik konstruksi tahan gempa, baik bangunan untuk fasilitas umum maupun rumah penduduk yang berada di area rawan gempa.",102,102,official_risk_reduction_recommendation,false,false,false
liquefaction,LIKUEFAKSI,krb_4_2_6,1,"1. Penataan ruang, manajemen risiko likuefaksi melalui penataan ruang dengan melakukan identifikasi lokasi dan tingkat risiko likuefaksi, penempatan bangunan perumahan dan fasilitas umum yang vital yang aman dari likuefaksi, pengarahan struktur bangunan sesuai dengan karakteristik risiko likuefaksi, pembangunan sistem dan jalur evakuasi yang dilengkapi sarana dan prasarana. [PDF page 103] DOKUMEN KAJIAN RISIKO BENCANA NASIONAL – PROVINSI SUMATERA BARAT 2022-2026 HAL 102",102,103,official_risk_reduction_recommendation,false,false,false
liquefaction,LIKUEFAKSI,krb_4_2_6,2,"2. Pendidikan bahaya likuefaksi seperti penyuluhan kepada masyarakat terkait pengenalan dan upaya dalam menghadapi likuefaksi, peningkatan kesiapan seluruh pemangku kepentingan dalam mengantisipasi dan menghadapi kejadian bencana",103,103,official_risk_reduction_recommendation,false,false,false
liquefaction,LIKUEFAKSI,krb_4_2_6,3,3. Menghindari lokasi rawan likuefaksi (rencana tata guna lahan),103,103,official_risk_reduction_recommendation,false,false,false
liquefaction,LIKUEFAKSI,krb_4_2_6,4,4. Rekayasa teknik bangunan tahan likuefaksi membuat pondasi hingga ke lapisan batuan keras,103,103,official_risk_reduction_recommendation,false,false,false
liquefaction,LIKUEFAKSI,krb_4_2_6,5,"5. Meningkatkan kekuatan tanah, membuat tanah menjadi padat/keras (soil compaction).",103,103,official_risk_reduction_recommendation,false,false,false
forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,krb_4_2_7,1,"1. Sistem peringatan dini. Berdasarkan faktor-faktor lingkungan yang mempengaruhi mudah terbakarnya vegetasi dan biomassa, tingkat penyebaran, kesulitan pengendalian, dampak kebakaran dan faktor klimatologis serta kemajuan teknologi, maka dapat dikembangkan Sistem Peringkat Bahaya Kebakaran (Fire Danger Rating System) sebagai sistem peringatan dini bahaya kebakaran",103,103,official_risk_reduction_recommendation,false,false,false
forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,krb_4_2_7,2,"2. Partisipasi Masyarakat. Peningkatan partisipasi/peran serta masyarakat lokal dalam pencegahan kebakaran hutan dan lahan dipengaruhi oleh beberapa faktor, yaitu dorongan dan rangsangan, insentif, kesempatan, kemampuan, serta bimbingan. Upaya peningkatan partisipasi masyarakat ini dapat dilakukan melalui: a) Kampanye peningkatan kesadaran masyarakat terhadap bahaya kebakaran dan penegakan hukum melalui dialog langsung dan/atau melalui media penyuluhan (buku cerita, stiker, brosur, kalender, poster, dll); b) Pemberian insentif, sehingga masyarakat akan memperoleh manfaat dari partisipasi aktif mereka dalam mencegah dan menanggulangi kebakaran. Insentif dapat diberikan dalam bentuk pengembangan produk- produk alternatif yang dapat dihasilkan masyarakat seperti hasil kerajinan rotan, pembuatan briket arang dan kompos serta dalam pengembangan kegiatan-kegiatan ekonomi yang ramah lingkungan c) Peningkatan kapasitas masyarakat melalui pelatihan dan bimbingan. Ketidaksadaran masyarakat bisa menjadi kecerobohan yang menyebabkan hal fatal seperti kebakaran hutan atau lahan. Beberapa tips untuk mengurangi risiko kebakaran hutan dan lahan sebagai berikut: 1) Hindari membakar sampah di lahan atau hutan, terutama saat angin kencang. Angin yang bertiup kencang akan berisiko menyebarkan kobaran api dengan cepat dan menyebabkan kebakaran. 2) Berikan jarak tempat pembakaran sampah dari bangunan sekitar 50 kaki dan sejauh 500 kaki dari hutan. Hal itu untuk menghindari risiko api menjalar ke tempat yang tidak diinginkan. 3) Tidak membuang puntung rokok sembarangan di area hutan atau lahan, apalagi jika masih menyala yang berisiko memicu terjadinya kebakaran. 4) Tidak membuat api unggun di area yang rawan terjadi kebakaran.5) Setelah selesai melakukan pembakaran, pastikan untuk mengecek api sudah benar-benar padam sebelum meninggalkan tempat itu. Perhatikan juga tidak ada barang-barang yang mudah terbakar di sekitarnya.6) Hindari membakar di area Hutan Bagi masyarakat yang tinggal disekitar hutan ada baiknya untuk menghindari membakar rumput atau apapun yang dapat berpotensi api menjadi besar. ada baiknya saat membakar, ditunggu hingga api sampai padam. 7) informasi kejadian kebakaran hutan dan lahan kepada instansi terkait di wilayah terdekat (kehutanan, TNI/POLRI, dan BPBD)",103,103,official_risk_reduction_recommendation,false,false,false
forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,krb_4_2_7,3,3. Memasyarakatkan teknik-teknik ramah lingkungan dalam pengendalian kebakaran,103,103,official_risk_reduction_recommendation,false,false,false
forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,krb_4_2_7,4,"4. Koordinasi dan sinkronisasi kebijakan pencegahan, penanggulangan, sistem kemitraan dengan masyarakat, tenaga dan sarana prasarana pengendalian kebakaran hutan dan lahan.",103,103,official_risk_reduction_recommendation,false,false,false
drought,KEKERINGAN,krb_4_2_8,1,1. Penataan Ruang.,103,103,official_risk_reduction_recommendation,false,false,false
drought,KEKERINGAN,krb_4_2_8,2,"2. Penataan ruang melalui atau dilakukan dengan cara: a) Identifikasi wilayah rawan kekeringan dan daerah resapan air, yang kemudian menetapkan perlindungan terhadap daerah resapan air. b) Pengarahan pembangunan yang berpotensi mengurangi resapan air pada daerah tangkapan air (resapan air) serta dengan mengontrol penggunaan lahan. c) Revitalisasi fungsi resapan tanah d) Reboisasi di wilayah sekitar sumber mata air.",103,103,official_risk_reduction_recommendation,false,false,false
drought,KEKERINGAN,krb_4_2_8,3,3. Pengelolaan sumber daya air.,103,103,official_risk_reduction_recommendation,false,false,false
drought,KEKERINGAN,krb_4_2_8,4,"4. Pengelolaan sumber daya air meliputi: a) Membuat perhitungan atau ketersediaan air dan Indeks kekeringan yang memungkinkan untuk mendapatkan atau mendeteksi potensi kekeringan, waktu kekeringan (awal, akhir, durasi kekeringan), dan prediksi tingkat keparahan kekeringan. b) Pembangunan fasilitas yang dapat berfungsi sebagai tampungan yang dapat menyimpan air seperti bendungan, embung dan waduk. c) Penyusunan regulasi/peraturan tingkat kabupaten mengenai penggunaan sumber daya air untuk masyarakat dan industri.",103,103,official_risk_reduction_recommendation,false,false,false
drought,KEKERINGAN,krb_4_2_8,5,5. Penyuluhan dan koordinasi. Penyuluhan kepada masyarakat mengenai mitigasi dan respon terhadap kejadian kekeringan dan peningkatan koordinasi antar pemangku kepentingan dalam menghadapi bahaya kekeringan.,103,103,official_risk_reduction_recommendation,false,false,false
volcanic_eruption,LETUSAN GUNUNGAPI,krb_4_2_9,1,1. Penguatan pemerintah daerah dalam pengelolaan risiko bencana,103,103,official_risk_reduction_recommendation,false,false,false
volcanic_eruption,LETUSAN GUNUNGAPI,krb_4_2_9,2,2. Penyusunan kesepakatan pengelolaan kawasan gunungapi lintas kabupaten,103,103,official_risk_reduction_recommendation,false,false,false
volcanic_eruption,LETUSAN GUNUNGAPI,krb_4_2_9,3,3. Penetapan zona bahaya dan zona aman sebagai dasar wilayah pemanfaatan baik untuk pariwisata maupun budidaya yang lain. Pada zona bahaya tidak diarahkan untuk pemukiman.,103,103,official_risk_reduction_recommendation,false,false,false
volcanic_eruption,LETUSAN GUNUNGAPI,krb_4_2_9,4,4. Pelatihan kepada masyarakat disekitar kawasan rawan bencana untuk mengetahui tanda tanda alam terjadinya letusan.,103,103,official_risk_reduction_recommendation,false,false,false
volcanic_eruption,LETUSAN GUNUNGAPI,krb_4_2_9,5,"5. Perencanaan lokasi untuk menghindari daerah yang dekat dengan lereng-lereng gunungapi yang digunakan untuk aktivitas penting, penghindaran terhadap kemungkinan kanal aliran lava, pengembangan bangunan yang tahan api dan rekayasa bangunan untuk menahan beban tambahan endapan abu.",103,103,official_risk_reduction_recommendation,false,false,false
volcanic_eruption,LETUSAN GUNUNGAPI,krb_4_2_9,6,6. Membangun sistem peringatan dini bahaya letusan gunungapi yang lebih mudah dijangkau/diakses oleh masyarakat,103,103,official_risk_reduction_recommendation,false,false,false
volcanic_eruption,LETUSAN GUNUNGAPI,krb_4_2_9,7,7. Penguatan praktik pengelolaan risiko bencana berbasis komunitas (PRBBK) dan sistem peringatan dini berbasis komunitas (SPDBK). [PDF page 104] DOKUMEN KAJIAN RISIKO BENCANA NASIONAL – PROVINSI SUMATERA BARAT 2022-2026 HAL 103,103,104,official_risk_reduction_recommendation,false,false,false
landslide,TANAH LONGSOR,krb_4_2_10,1,"1. Penataan ruang dengan memperhatikan risiko bencana tanah longsor, melakukan identifikasi lokasi dan tingkat risiko tanah longsor, penempatan bangunan perumahan dan fasilitas umum yang vital yang aman dari likuefaksi, pengarahan struktur bangunan sesuai dengan karakteristik risiko tanah longsor, pembangunan sistem dan jalur evakuasi yang dilengkapi sarana dan prasarana.",104,104,official_risk_reduction_recommendation,false,false,false
landslide,TANAH LONGSOR,krb_4_2_10,2,"2. Himbauan, pengaturan dan upaya penertiban kepada masyarakat: a) Tidak membuat rumah di bawah, tepat di pinggir, atau dekat tebing. b) Membuat terasering atau sengkedan di lereng jika membuat pemukiman. c) Tidak membuat kolam atau perkebunan di lereng yang dekat pemukiman.",104,104,official_risk_reduction_recommendation,false,false,false
landslide,TANAH LONGSOR,krb_4_2_10,3,"3. Melakukan beberapa upaya bersama stakeholder yang terkait untuk: a) Menanam tanaman keras dan ringan dengan jenis akar dalam, di wilayah curam. b) Tidak memotong tebing menjadi tegak, biarkan miring. c) Membuat saluran pembuangan air yang otomatis bisa menjadi saluran penampungan air tanah.",104,104,official_risk_reduction_recommendation,false,false,false
landslide,TANAH LONGSOR,krb_4_2_10,4,4. Membangun sistem informasi dini gerakan tanah berbasis masyarakat tempatan.,104,104,official_risk_reduction_recommendation,false,false,false
tsunami,TSUNAMI,krb_4_2_11,1,"1. Peningkatan kapasitas kesiapsiagaan dan PRB melalui penyusunan perencanaan penanggulangan bencana, peningkatan pemahaman dan pengetahuan, diseminasi informasi secara cepat, penelitian, serta pendidikan dan pelatihan penanggulangan bencana secara berkala;",104,104,official_risk_reduction_recommendation,false,false,false
tsunami,TSUNAMI,krb_4_2_11,2,"2. Peningkatan peran serta dunia usaha, perguruan tinggi dan masyarakat melalui kegiatan penelitian dan pengembangan ilmu pengetahuan dan teknologi kebencanaan, kerjasama pemerintah dan dunia usaha dalam pemanfaatan bangunan dan gedung sebagai tempat evakuasi, pelibatan masyarakat dalam proses perencanaan dan pelaksanaan masterplan;",104,104,official_risk_reduction_recommendation,false,false,false
tsunami,TSUNAMI,krb_4_2_11,3,"3. Penyediaan sistem peringatan dini melalui dukungan peralatan peringatan dini, teknologi informasi dan komunikasi, serta dukungan operasional yang handal;",104,104,official_risk_reduction_recommendation,false,false,false
tsunami,TSUNAMI,krb_4_2_11,4,"4. Penyediaan TES tsunami melalui dukungan pembangunan TES tsunami, jalur evakuasi, serta sarana dan prasarana penyelamatan yang memadai",104,104,official_risk_reduction_recommendation,false,false,false
tsunami,TSUNAMI,krb_4_2_11,5,5. Penguatan peran serta masyarakat dalam pengurangan risiko bencana,104,104,official_risk_reduction_recommendation,false,false,false
tsunami,TSUNAMI,krb_4_2_11,6,6. Pembangunan dan pengembangan tempat evakuasi sementara,104,104,official_risk_reduction_recommendation,false,false,false
tsunami,TSUNAMI,krb_4_2_11,7,7. Pembuatan peta risiko dan jalur evakuasi tsunami,104,104,official_risk_reduction_recommendation,false,false,false
tsunami,TSUNAMI,krb_4_2_11,8,8. Pemasangan Rambu-Rambu dan Informasi Tsunami,104,104,official_risk_reduction_recommendation,false,false,false
