claim_id,state,section,source_milestone,source_artifact,statement,authorized_interpretation,prohibited_upgrade
"C22_RICE_YIELD_TRAJECTORY","publishable_bounded","Socioeconomic trajectories","22","data/manifests/milestone22_hierarchical_socioeconomic_trajectory.json","Rice yield passes the hierarchical benchmark; 10 geography trajectories are persistent increases 3 persistent decreases and 6 not robust.","Bounded modern 2018-2025 numerical trajectory classification.","Do not infer agricultural policy effects climate causality or guaranteed future yield paths."
"X24_NATIONAL_COMPARATOR","context_only","Expanded evidence","24","data/manifests/milestone24_bps_stable32_complete.json","M24 qualifies six BPS indicators for 32 stable-boundary current provinces over 2018-2025 producing 1536 observations and 48 provenance records while excluding six current Papua-region provinces from longitudinal backcasting.","National comparator evidence and coverage context only.","Do not pool province data into district-city models or claim full-territory historical comparability."
"X25_PUBLIC_FINANCE","context_only","Expanded evidence","25","data/manifests/milestone25_djpk_public_finance_complete.json","M25 qualifies 608 exact-label annual-final fiscal observations across 19 kabupaten/kota and 2018-2025 for total revenue PAD total expenditure and capital expenditure; central-transfer revenue remains held.","Public-finance evidence context with exact source semantics and held-family visibility.","Do not derive unsupported fiscal ratios causal effects or monetary wasted-potential estimates."
"X26_DISASTER_COMPONENTS","context_only","Expanded evidence","26","data/manifests/milestone26_disaster_risk_chain_complete.json","M26 materializes 57 observations across three qualified disaster-risk component classes: population exposure proxy 2020 capacity 2021 and recorded hydrometeorological occurrence context 2015-2024; observed event-level impact and undated hazard or vulnerability raster aggregation remain held.","Component-level disaster evidence context with temporal distinctions preserved.","Do not synthesize a composite disaster-risk score relabel occurrence as impact or infer monetary loss."
"X27_INVESTMENT_HISTORY","context_only","Expanded evidence","27","data/manifests/milestone27_completion.json","M27 qualifies 63 of 64 official BKPM quarterly investment periods from 2010-Q1 to 2025-Q4 and materializes 1440 geography-quarter-status observations; 2024-Q1 remains held because mixed duplicate mechanisms make forced deduplication indefensible.","Bounded quarterly investment-history context with PMA PMDN and source-native currencies retained separately.","Do not force-deduplicate 2024-Q1 combine PMA and PMDN annualize quarters convert currencies externally rank or infer causal effects."
"X28_BROADER_PANEL","context_only","Expanded evidence","28","data/manifests/milestone28_completion.json","M28 adds seven qualified BPS indicators and 931 observations to create Panel v2 with 22 indicators 2679 present observations across 152 geography-year rows and 665 explicit missing cells.","Broader health infrastructure economic-level and demographic context under source-specific methodology regimes.","Do not impute aggregate indicators fit a new model claim causality rank policy or monetize gaps in M29."
"B01_MONETARY_WASTED_POTENTIAL","blocked","Claim boundaries","18","docs/MILESTONE18_FINAL_ANALYTICAL_SYNTHESIS.md","A definitive monetary value of West Sumatra's wasted potential is not authorized.","The publication may state that this headline ambition remains unresolved.","Do not create or imply a monetary aggregate from model gaps fiscal values investment values or other evidence."
"B02_THEORETICAL_MAXIMUM","blocked","Claim boundaries","18","docs/MILESTONE18_FINAL_ANALYTICAL_SYNTHESIS.md","The M12 favorable empirical reference is not a theoretical maximum.","Use empirical conditional favorable reference terminology.","Do not use frontier language in a theoretical-production-frontier sense unless explicitly qualified as empirical."
"B03_CAUSAL_RESIDUAL","blocked","Claim boundaries","18","docs/MILESTONE18_FINAL_ANALYTICAL_SYNTHESIS.md","M11 predictive residuals are not causal underperformance estimates.","Residuals support bounded predictive comparison only.","Do not attribute residual gaps to governance policy or any specific cause."
"B04_GUARANTEED_POLICY_GAIN","blocked","Claim boundaries","18","docs/MILESTONE18_FINAL_ANALYTICAL_SYNTHESIS.md","Distance to an M12 favorable empirical reference is not a guaranteed policy gain.","Reference distance can describe empirical separation under support rules.","Do not translate distance directly into intervention effect or realizable gain."
"B05_CAUSAL_RAINFALL_UNEMPLOYMENT","blocked","Claim boundaries","18","docs/MILESTONE18_FINAL_ANALYTICAL_SYNTHESIS.md","The M14 rainfall-unemployment-gap association is not a causal unemployment effect.","Association may motivate future identification work.","Do not claim rainfall caused the estimated unemployment gap."
"B06_EVENT_COUNTS_AS_IMPACT","blocked","Claim boundaries","18","data/manifests/milestone26_disaster_risk_chain_complete.json","Recorded BNPB or DIBI occurrence counts are not observed disaster-impact outcomes.","Keep source-native occurrence context distinct from observed impact.","Do not relabel occurrence aggregates as deaths damages losses or affected-population impact."
"B07_COMPOSITE_DISASTER_RISK","blocked","Claim boundaries","18","data/manifests/milestone26_disaster_risk_chain_complete.json","A composite disaster-risk score is not authorized.","Qualified components may be shown separately as context.","Do not combine temporally distinct or version-unresolved components into one risk index."
"B08_SENSITIVITY_AS_POLICY_EFFECT","blocked","Claim boundaries","18","data/manifests/milestone17_scenario_intervention.json","M17 predictive sensitivities are not policy treatment effects and are not forecasts.","Use model-state sensitivity language only.","Do not translate standardized perturbations into causal intervention gains or future predictions."
"B09_POLICY_RANKING","blocked","Claim boundaries","18","docs/MILESTONE18_FINAL_ANALYTICAL_SYNTHESIS.md","Policy or cost-benefit ranking is not authorized without qualified effects costs implementation horizons feasibility and risk evidence.","The publication may identify evidence gaps required for action readiness.","Do not rank interventions by attractiveness expected return or priority."
